id,class,buying_low,buying_med,buying_vhigh,maint_low,maint_med,maint_vhigh,doors_3,doors_4,doors_5more,persons_4,persons_more,lug_boot_med,lug_boot_small,safety_low,safety_med
0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
3,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
7,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
11,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
12,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
20,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
21,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
23,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
24,1.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
25,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
26,0.0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
28,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
30,0.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
32,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0.0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
36,1.0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
37,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
41,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
43,3.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
46,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
50,1.0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
57,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
59,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
62,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
63,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
65,0.0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
67,0.0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
68,1.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
69,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
71,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
72,3.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
73,0.0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0
74,3.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
79,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
83,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
84,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
86,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
87,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
90,0.0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0
91,2.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
93,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
